SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
743455,7134218000.0,609216640.0,58548240000.0,29.922415,0.13887724,72.08678,38.807636,66291680000.0,0.024,2.3271
743483,5775062500.0,431810100.0,66031874000.0,34.306458,0.030999236,70.35943,38.222992,72241790000.0,0.024,0.86048424
743664,5341250000.0,440218200.0,67651300000.0,34.18747,0.11314436,70.070984,38.45937,73436190000.0,0.024,1.8972864
743845,5480373000.0,420718370.0,64732350000.0,32.118958,0.05361876,71.75043,39.18085,70635540000.0,0.024,2.1786134
743878,7097361400.0,342992320.0,46853382000.0,31.873955,0.12121924,67.34602,33.905666,54293737000.0,0.024,1.1789266
743935,6777519600.0,268393180.0,63806700000.0,30.966656,0.01597999,74.50216,39.453705,70853960000.0,0.024,1.1800522
744030,2444460000.0,287426530.0,27094098000.0,25.573484,0.017506609,55.06425,28.457401,29829118000.0,0.024,0.7294048
744031,1541419800.0,260548080.0,25867166000.0,18.989014,0.047805753,56.875515,31.466404,27669133000.0,0.024,0.64659387
744064,3374867700.0,755699900.0,69472180000.0,33.918293,0.0335321,75.3486,39.489788,73605110000.0,0.024,1.3676407
744113,5765435000.0,486553760.0,60887753000.0,34.84316,0.044289995,68.808205,36.44031,67141186000.0,0.024,1.9289478
744159,4080571600.0,530372640.0,43688050000.0,32.34433,0.057723578,66.71947,33.090435,48302260000.0,0.024,1.1912084
744300,5928120000.0,196342720.0,37194035000.0,38.6721,0.047040727,53.610497,30.883734,43318497000.0,0.024,0.8425729
744360,4342999000.0,657306600.0,70243550000.0,31.258438,0.11588826,73.32064,41.92215,75246840000.0,0.024,1.5369133
744384,6018645500.0,231225650.0,53204922000.0,40.111828,0.062220488,60.18392,34.43464,59456254000.0,0.024,0.5279249
744441,6167682000.0,870943100.0,61067895000.0,29.527554,0.25020787,74.18665,39.23468,68107747000.0,0.024,2.0987277
744634,5976684500.0,601949000.0,63155580000.0,31.56886,0.072785564,71.775696,38.60927,69735670000.0,0.024,2.519648
744729,6870531600.0,277660030.0,57961090000.0,38.146477,0.04678461,64.85723,35.232044,65110640000.0,0.024,1.0754337
744773,5150107000.0,700695740.0,66629464000.0,32.139153,0.040158816,75.49713,39.402996,72484780000.0,0.024,1.817578
744815,6343294500.0,1512526100.0,54340202000.0,22.772766,0.400944,88.89048,42.467693,62196020000.0,0.024,2.0496106
744880,5017598500.0,916199700.0,60460780000.0,27.485022,0.15317336,78.179756,40.68377,66398695000.0,0.024,1.671241
744914,5343392000.0,536713380.0,67237028000.0,31.740284,0.04582732,74.89717,40.030453,73119130000.0,0.024,1.801302
745087,5682859500.0,566295740.0,62930063000.0,34.7278,0.081884176,68.21872,37.62212,69183690000.0,0.024,1.1011275
745131,4633707000.0,186087650.0,67668546000.0,46.154297,0.043163024,63.142765,35.590874,72490220000.0,0.024,1.1054096
745204,4135325200.0,820403260.0,70056150000.0,30.931572,0.11653392,78.38678,40.664276,75015780000.0,0.024,1.4928187
745264,5819517400.0,721155300.0,63619764000.0,31.083998,0.04235158,76.45346,39.55093,70163060000.0,0.024,1.6989174
745299,2498216700.0,289410200.0,45168173000.0,27.423723,0.07181308,66.171646,34.611298,47958385000.0,0.024,1.1169516
745376,5112007000.0,310604670.0,67021500000.0,35.29673,0.026942251,69.9679,38.290775,72446550000.0,0.024,1.4933972
745496,2908524300.0,259938400.0,47462765000.0,34.83674,0.03940729,59.986538,33.476814,50632750000.0,0.024,1.4247301
745601,5349610000.0,1066035840.0,60772960000.0,29.39021,0.20978293,75.77228,39.573006,67189953000.0,0.024,1.5997676
745644,5440786400.0,312994400.0,61695422000.0,39.057068,0.07789719,64.80717,36.886166,67450556000.0,0.024,1.7328293
