SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
339024,12086948000.0,474089020.0,99923540000.0,16.743235,1.0790569,120.37762,84.88238,112484590000.0,2.103,2.2987008
339025,205962500.0,298732540.0,1274573200.0,0.827595,0.26628157,68.07337,42.25999,1780907300.0,2.103,0.5477005
339096,13384498000.0,1483503100.0,96199200000.0,16.678778,1.2186568,120.91373,69.26294,111070140000.0,2.103,2.7833683
339150,11603951000.0,1045305660.0,105795940000.0,21.959295,0.86001927,108.868065,66.7261,118448110000.0,2.103,1.2773204
339233,14699703000.0,915947650.0,86817990000.0,20.045816,1.0135117,106.09657,62.317677,102435420000.0,2.103,3.7280068
339321,8668349000.0,234535440.0,50202940000.0,24.17008,0.42052928,73.72857,45.827816,59105825000.0,2.103,3.186229
339441,11992601000.0,480176130.0,79875230000.0,23.58663,0.49076322,92.38656,54.379566,92349510000.0,2.103,3.0528324
339525,11104983000.0,154292640.0,66430720000.0,25.841364,0.30864477,82.41059,56.258263,77689995000.0,2.103,2.6074524
339604,9697129000.0,438784450.0,102977266000.0,20.584435,0.48423702,109.09374,71.38503,113114660000.0,2.103,3.8496838
339606,187337180.0,111121064.0,361182000.0,0.8593429,0.13661441,41.7713,24.232832,659640260.0,2.103,0.70923203
339699,14591772000.0,1435653400.0,82133520000.0,16.633696,1.4203951,113.218056,64.17193,98164410000.0,2.103,2.0894659
339726,13855275000.0,1071281860.0,92015210000.0,18.392008,1.3765148,112.36756,66.67967,106946280000.0,2.103,1.2488757
339791,13073499000.0,1368592600.0,92456240000.0,16.898401,1.4462487,116.68647,67.702515,106900900000.0,2.103,1.9223214
339848,10445783000.0,430637540.0,83569170000.0,23.278429,0.35550958,93.54941,56.131695,94446980000.0,2.103,3.3390527
339849,1935969300.0,167695820.0,13364189000.0,7.7325,0.06486318,66.962555,40.82875,15467854000.0,2.103,2.1033652
339933,10083339000.0,1610391400.0,106108560000.0,20.511948,1.0245147,112.812675,68.403786,117807650000.0,2.103,0.9090919
340001,13633745000.0,1517188700.0,89594010000.0,16.511152,1.1904285,116.97016,68.31431,104749320000.0,2.103,1.7372581
340045,15262313000.0,1147664600.0,78603820000.0,19.339582,1.4289571,103.54078,63.70778,95016180000.0,2.103,3.4039187
340113,11762070000.0,1375710800.0,101472640000.0,19.012869,0.97850394,115.806175,67.53404,114614250000.0,2.103,2.3183944
340157,9862801000.0,282155620.0,69239410000.0,25.90105,0.4824833,81.701294,53.14349,79384370000.0,2.103,1.8768593
340158,2244740900.0,178659400.0,11766547000.0,7.46825,0.14485694,64.79978,40.64676,14191494000.0,2.103,1.553769
340255,10603324000.0,1055729900.0,109819750000.0,22.746084,0.91609424,110.24734,65.96089,121482715000.0,2.103,1.1203514
340343,12577695000.0,954349950.0,101470360000.0,19.293232,1.1168672,113.87295,67.664154,115004195000.0,2.103,3.4359546
340383,7647151000.0,287242780.0,61237140000.0,24.055971,0.3615278,79.24823,51.424686,69173080000.0,2.103,1.157864
340493,9599442000.0,671596160.0,98079520000.0,20.523897,0.73601526,107.11785,66.47886,108352310000.0,2.103,2.300684
340587,12619492000.0,854469570.0,93899150000.0,17.71845,0.98514026,117.24448,71.94558,107374690000.0,2.103,3.6650376
340628,7580712000.0,664009600.0,46786230000.0,13.866388,0.62832016,94.29685,52.32511,55032340000.0,2.103,1.4507926
340704,11858206000.0,849871200.0,104132040000.0,21.53707,0.8137628,108.032425,64.893394,116842500000.0,2.103,2.3563569
340794,9380706000.0,780052800.0,61071524000.0,15.657299,0.45811898,99.094124,56.91235,71234710000.0,2.103,1.4378684
340901,12336549000.0,1069737150.0,73611710000.0,16.896574,1.0654025,105.92546,59.112785,87020640000.0,2.103,2.476525
340971,7972934700.0,740551100.0,63124726000.0,17.108614,0.69614136,96.105865,55.284348,71839770000.0,2.103,0.9501586
341075,11776785000.0,565913600.0,91579154000.0,20.552422,0.59611815,104.43889,62.975533,103923340000.0,2.103,3.0907655
341172,12300480000.0,576914050.0,75977540000.0,18.681568,0.3780973,101.2688,61.967945,88856310000.0,2.103,1.8666265
341264,11602713000.0,842507000.0,90764680000.0,19.314945,0.9273106,107.244576,63.89331,103211560000.0,2.103,2.0951104
341371,10785583000.0,658480600.0,65731494000.0,20.609766,0.68720573,91.71686,55.334526,77177320000.0,2.103,1.7790763
341465,9747781000.0,335138430.0,76049240000.0,24.002668,0.15865238,88.3373,58.57577,86133620000.0,2.103,2.06141
341567,8233049000.0,164185840.0,59799670000.0,22.249355,0.094144255,83.05476,52.872353,68196910000.0,2.103,7.0674224
341685,12065968000.0,430336030.0,101244854000.0,22.719904,0.29977155,105.519005,66.482994,113742750000.0,2.103,2.5961807
341757,11817123000.0,992680450.0,98403490000.0,18.617838,1.1816012,113.63009,71.11863,111216255000.0,2.103,1.8920811
341837,12656299000.0,1002281400.0,75391300000.0,19.287273,0.9189741,100.482735,58.602848,89051820000.0,2.103,1.8094292
341951,12412798000.0,567842100.0,96071700000.0,21.520483,0.8042723,105.10486,65.91922,109054410000.0,2.103,1.0700347
342044,10837898000.0,502081400.0,87321660000.0,26.771513,0.4670271,93.39312,57.05151,98663540000.0,2.103,1.3317639
342123,12460203000.0,765033150.0,93955424000.0,20.059923,0.70233935,110.90749,66.23285,107182690000.0,2.103,5.5477986
